Iteration,fullVec,explicitVec,autoVec,serial
0,0.0002093652494873,0.0002081330035011,2.0893197824554395e-06,1.4944234106513743e-06
1,0.0002645924735486,0.0002106693413331,5.436503791375828e-06,1.3369967422972051e-06
2,0.0002273480063814,0.000228521126669,2.170529511579573e-06,2.75314708513697e-06
3,0.0002165654606326,0.0002270124248148,1.2792410113762876e-06,2.2902588644691637e-06
4,0.0002504232236015,0.00020685219104,7.979696078362284e-06,2.467738009583609e-06
5,0.0002140251655408,0.0002137352363034,3.2453643163179262e-06,1.2874861851566078e-06
6,0.0002131372870641,0.00021003091131,2.2541265139448217e-06,1.3067899040167672e-06
7,0.0002154845614761,0.0002278962340785,1.5400240205568858e-06,1.298465586266245e-06
8,0.0002087531521296,0.0002347951967879,1.17122913813378e-06,1.2887015660719034e-06
9,0.0002101433691035,0.0002360062794667,1.5156954497714222e-06,1.283687536239361e-06
