Iteration,fmaScalar,indexInRange,fma
0,0.0227756833203799,0.0222235079402405,0.0222245288159976
1,0.0227712338573696,0.0221645945229511,0.0221947881746195
2,0.022770950506249,0.0222175419411621,0.0222228493834855
3,0.022776118058347,0.0221221915594998,0.0222152290608305
4,0.0227676402879484,0.0223418541642853,0.0221244479693947
5,0.0227765162506594,0.0221999137498554,0.0222052914585083
6,0.0227729661888442,0.0222175375993912,0.0222180547474584
7,0.0227771972986924,0.0222186689914717,0.0222265076801214
8,0.0227713942947945,0.0219215931140921,0.0222346281972132
9,0.0227705934213871,0.0222211396589671,0.0222115357373051
